"Broadbeans","1/2 Small Tin","","150","","0","","","8.8","1.3","0.01","","","","VEG","Broadbeans"","
"Mandarin Segments","1/2 Can","","150","","0","","","11","11","1","","","","FRUIT","Mandarin Segments"","
"Tuna","3/4 Can","John Smiths","100","478","113.863202176264","0.5","0.2","0","0","#DIV/0!","N/A","27","1","FISH","Tuna"","
"Egg","1","","","","0","","","","","#DIV/0!","","","","DAIRY","Egg"","
"Bacon","1 Slice","","","","0","","","","","#DIV/0!","","","","MEAT","Bacon"","
"Nik Naks (Scampi & Lemon)","1 Bag","","25","591","140.780653736762","9","0.8","13","0.7","0.0538461538461539","0.5","1.6","0.45","CRISPS","Nik Naks (Scampi & Lemon)"","
"Digestives (Aldi)","1 Biscuit","","15","303","72.1768833878829","3","1.5","9.8","2.4","0.244897959183673","0.5","1.2","0.12","BISCUITS","Digestives (Aldi)"","
"Spaghetti ","1/5 pack","","100","656","156.264143572446","0.6","0.1","31","0.5","0.0161290322580645","2.1","5.3","0","MEAL","Spaghetti "","
"Mushroom Soup (Asda)","1/2 Can","","200","484","115.292447391866","5.3","1.1","12","0.7","0.0583333333333333","1","1.8","0.88","SNACK","Mushroom Soup (Asda)"","
"Meatballs","1/2 Tin","","190","916","218.198102915184","10.8","8.4","21.7","5.1","0.235023041474654","0.8","8.4","2.4","SNACK","Meatballs"","
"Chocolate Eclair","1","","44","727","173.176878623732","12.3","6.3","13.4","8.9","0.664179104477612","0.3","2.4","1","SNACK","Chocolate Eclair"","
"Malted Wheat","1 Bowl","","40","615","146.497634599168","0.7","0.1","28","4.3","0.153571428571429","4.2","4.6","0.17","CEREAL","Malted Wheat"","
"Chick & Mush Slices","1 Slice","","150","1569","373.747623879829","19.6","9.5","36.9","2.4","0.0650406504065041","","","","SNACK","Chick & Mush Slices"","
"Lasagne","1/4 Pie","","400","2250","535.966955850615","26.5","9.3","48","8.8","0.183333333333333","5","24.3","2.4","MEAL","Lasagne"","
"Cheerios","","","","","0","","","","","#DIV/0!","","","","","Cheerios"","
"Camenbert","","","","","0","","","","","#DIV/0!","","","","CHEESE","Camenbert"","
"Chicken Breasteaks","1 piece","Homebrand","95","848","201.999990471699","9.2","1.4","15.4","1.7","0.11038961038961","1.2","14","0.7","MEAT","Chicken Breasteaks"","
"Large Cod Fillet","1 piece","Youngs","100","1015","241.780648972611","13.9","2.3","15.9","0.6","0.0377358490566038","1","13.1","1","FISH","Large Cod Fillet"","
"Smoked Mackerel","1/2 Tin","The Fishmonger","100","1223","291.327816446801","23","5.9","1.6","0.5","0.3125","0.5","20","2.4","FISH","Smoked Mackerel"","
"Garlic & Coriander"","
"Naan Bread"","1 slice","Homebrand","110","1143","272.271213572113","4","0.3","49.2","2.3","0.0467479674796748","2.5","8.3","0.7","BREAD",""Garlic & Coriander"","
"Naan Bread"","
"Wholemeal Deli Rolls","1 bap","Homebrand","?","604","143.877351703899","1.6","0.2","25","2.2","0.088","3.4","5.5","0.4","BREAD","Wholemeal Deli Rolls"","
"Ultimate 5oz Burger","1","Homebrand","142","1173","279.417439650121","19.1","8.6","1.2","0.2","0.166666666666667","0.5","26.1","1.1","MEAT","Ultimate 5oz Burger"","
"Cheerios - Multigrain","1 full bowl + milk","Nestle","60g","1470","350.165077822402","3.3","1.4","28","11","0.392857142857143","2.7","7.1","0.4","CEREAL","Cheerios - Multigrain"","
"Egg & Mayo Sandwich","2 slices","Aldi","","1449","345.162719567796","14","2.6","37","3.1","0.0837837837837838","3.1","17","1","SNACK","Egg & Mayo Sandwich"","
"Turkey","1 slice","Aldi","21","101","24.0589611292943","0.6","0.2","0.5","0.5","1","0.5","4.3","0.34","MEAT","Turkey"","
"Deep Steak Pie","1/3 pie","Aldi","","1778","423.532998889953","22.7","11","37.9","3.1","0.0817941952506596","2","16.4","2.1","DINNER","Deep Steak Pie"","
"Oat/Honey Granola Bar","1 bar / 2 slices","Harvest Morn","42","802","191.042443818753","6.8","0.7","28","8.1","0.289285714285714","2.6","3.4","0.13","SNACK","Oat/Honey Granola Bar"","
"Jaffa Cakes","1 cake","McVities","12.2","135","32.1580173510369","1","0.5","8.7","6.4","0.735632183908046","0.3","0.6","0.003","SNACK","Jaffa Cakes"","
"Chicken / Bacon Pie","1 person pie","Crestwood","235","2442","581.702802749868","34","13","46","3.1","0.0673913043478261","2.2","22","2.6","PIE","Chicken / Bacon Pie"","
"Baked Beans","1/2 Can","Aldi","210","774","184.372632812612","0.9","0.3","29","12","0.413793103448276","9.6","9.7","0.83","SNACK","Baked Beans"","
"Pork Medallions","1 loin","Butcher's Mkt","100","527","125.535371437011","3.2","1.36","1","0.4","0.4","0.5","23.1","0.81","MEAT","Pork Medallions"","
"Sausage Roll","1 roll","Crestwood","60","901","214.62498987618","14","6.1","17","1","0.0588235294117647","2","5.7","0.59","SNACK","Sausage Roll"","
"Chicken Pie (Creamy)","1 pic","Iceland","142","1687","401.856113119995","25.7","12.4","29.7","2.2","0.0740740740740741","2.6","12.5","0.8","PIE","Chicken Pie (Creamy)"","
"Cheeselets","1/4 pack","Iceland","30","629","149.832540102239","7.8","2.7","16.6","0.5","0.0301204819277108","1.1","3.3","0.8","CHEESE","Cheeselets"","
"Steak Pie (family)","1/4 pie","Iceland","","2046","487.37261852016","31.5","14.8","35.9","1.9","0.052924791086351","2.95","14.8","0.9","PIE","Steak Pie (family)"","
"Steak Slice (luxury)","1 pie","Iceland","220","2574","613.146197493104","40.9","19","44.9","2.7","0.0601336302895323","4.6","15.3","1.1","PIE","Steak Slice (luxury)"","
"Cod"," Salmon"," Prawn Pie"","1 pack","Iceland","450","2042","486.419788376425","19.9","12.2","45.2","3","0.0663716814159292","5.5","29.1","4","FISH",""Cod"," Salmon"," Prawn Pie"","
"Instanoodles","1 pack","Aldi","300","2076","494.518844598168","22","10","62","1.4","0.0225806451612903","24","10","1.48","SNACK","Instanoodles"","
"Cottage Pie (slow cook)","1 pak","Iceland","450","2997","713.90798519302","48.9","24.7","39.7","3.4","0.0856423173803526","9","24.8","2.9","PIE","Cottage Pie (slow cook)"","
"Coleslaw","1/3 pot","Aldi","100","839","199.856122648296","19","1.3","6.5","5.3","0.815384615384615","1.6","0.8","0.88","SALAD","Coleslaw"","
"Spring Rolls (veg)","1 roll","Aldi","40","429","102.191032915517","4.6","0.4","12","0.7","0.0583333333333333","1.7","2.1","0.35","SNACK","Spring Rolls (veg)"","
"Mini Cheddars","1 pack","","25","535","127.44103172448","7.3","2.9","12.5","1.3","0.104","0.6","2.7","0.6","SNACK","Mini Cheddars"","
"Coconut Cream","1 biscuit","Farmfoods","12.7","269","64.0778271661402","3","1.5","8.5","3.8","0.447058823529412","0.2","0.6","0.06","BISCUITS","Coconut Cream"","
"Gammon Joint","1 slice (1/13th)","Aldi","1300","723","172.224048479998","8.3","3.2","0.5","0.5","1","0.5","24","2.9","MEAT","Gammon Joint"","
"Sausage - Chipolata","1 sausage","Aldi","22","274","65.2688648458083","5","1.8","0.5","0.5","1","0.5","5.2","1.8","MEAT","Sausage - Chipolata"","
"Rich Tea","1 biscuit","McVities","8.3","160","38.1132057493771","1.3","0.1","5.9","1.7","0.288135593220339","0.2","0.6","0.1","BISCUITS","Rich Tea"","
"Custard Cream","1 biscuit","Crawfords","11.5","223","53.1202805131943","2.5","1.3","7.6","3.2","0.421052631578947","0.2","6","0.05","BISCUITS","Custard Cream"","
"Coconut Rings","1 biscuit","Farmfoods","8.3","170","40.4952811087132","1.8","0.9","5.5","2.2","0.4","0.2","0.5","0.01","BISCUITS","Coconut Rings"","
"Oat Biscuits","1 biscuit","M&S","15.2","289","68.8419778848124","2.7","1.2","9.4","3.2","0.340425531914894","1","1.2","0.15","BISCUITS","Oat Biscuits"","
"Gold bar","1 bar","McVities","22.7","492","117.198107679335","5.8","4.7","14.9","11.6","0.778523489932886","0.2","1.2","0.1","BISCUITS","Gold bar"","
"Fruit Slices","1 slice","Aldi","15","237","56.4551860162648","1","0.2","11","4.6","0.418181818181818","0.5","0.8","0.12","BISCUITS","Fruit Slices"","
"Corned Steak Slice","1 slice","Aldi","112","928","221.056593346387","10","2.1","19","3.8","0.2","1.3","12","0.97","PIE","Corned Steak Slice"","
"Baked Beans","1/2 tin","Bensons","","737","175.558953983068","1.2","0.5","25.6","9.6","0.375","12.8","9.4","1.24","SNACK","Baked Beans"","
"Crisps","1 bag","Seabrooks","","525","125.058956365144","7.4","0.7","13.2","0.05","0.00378787878787879","0","1.5","0.3","SNACK","Crisps"","
"Hoisin Duck Wrap","2 wraps","Farmfoods","","1670","397.806585009123","12","3.5","52","8.9","0.171153846153846","3.3","18","1.4","SNACK","Hoisin Duck Wrap"","
"Olive Spread","10g (1/50th)","Asda","500","168","40.0188660368459","4.5","1.1","0.5","0.5","1","0.5","0.5","0.11","SPREAD","Olive Spread"","
"Puff Pastry","1 portion (1/6th)","Jus-Rol","320","808","192.471689034354","11.9","6.3","17.2","0.3","0.0174418604651163","0.6","2.7","0.34","PIE","Puff Pastry"","
"French Fries","100g (1/9th)","Farmfoods","900","602","143.400936632031","4.4","0.4","21","0.5","0.0238095238095238","0","2.6","0.84","SNACK","French Fries"","
"Sweetcorn","1/3rd can","Asda","390","390","92.9009390141067","1.3","0.2","16","1.7","0.10625","2.4","2.5","0.01","VEG","Sweetcorn"","
"Ferrero Rocher","All 8 cholates","","100","2506","596.948085049619","42.7","14.1","44.4","39.9","0.898648648648649","0","8.2","0.153","SWEET","Ferrero Rocher"","
"Disco Crisps","1 pack","","25.5","562","133.872635194687","7.1","1.4","16","0.5","0.03125","0.6","1.1","0.33","CRISPS","Disco Crisps"","
"Bacon","3 slices","","90","1091","259.884421703565","16","6.8","0.5","0","0","0","29","3.8","MEAT","Bacon"","
"Admiral Pie","1 pie","Youngs","300","1219","290.374986303067","10.4","4.9","36.3","5.4","0.148760330578512","2.1","11.7","1.6","PIE","Admiral Pie"","
"Bacon Rashers Crisps","1 bag","Snackrite","18","374","89.089618439169","4.1","0.3","12","0.7","0.0583333333333333","0.5","1","0.32","CRISPS","Bacon Rashers Crisps"","
"Cheese Puffs","1 bag","Snackrite","17","372","88.6132033673017","5","0.5","9.9","1.7","0.171717171717172","0.5","1.1","0.28","CRISPS","Cheese Puffs"","
"Sausage Mince","1/5th roll (100g)","","454","1004","239.160366077341","15","5.1","7.9","0","0","0","16","2.1","MEAT","Sausage Mince"","
"Benefit Original","1 serving","Harvest Morn","500","484","115.292447391866","0.5","0.1","25","3.6","0.144","0.7","2.2","0.11","CEREAL","Benefit Original"","
"Chicken Breast (stuffed)","100g (1/7th)","Farmfoods","700","666","158.646218931782","7.3","1.8","6.2","0.6","0.0967741935483871","0","17.1","1.1","MEAT","Chicken Breast (stuffed)"","
"Mariners Pie","","Youngs","300","337","80.2759396096255","11.4","2","43.1","7.3","0.169373549883991","2.6","14.2","2","PIE","Mariners Pie"","
"Madagaskan Ice Cream","1 scoop (33g)","Aldi","480","318","75.749996426887","4.2","2.6","8.3","7.2","0.867469879518072","0.5","1.2","0.04","SUNDRY","Madagaskan Ice Cream"","
"Scone (sultana)","1 scone","Asda","?","563","134.110842730621","3","1.1","23","5.8","0.252173913043478","0.9","2.7","0.48","SNACK","Scone (sultana)"","
"Tomato Lasagne Sauce","1/5th tin","Cucina","500","138","32.8726399588377","0.5","0.1","6.3","4.2","0.666666666666667","0.8","1.2","0.76","SAUCE","Tomato Lasagne Sauce"","
"Sausage (cumberland)","2 sausages","Farmfoods","400","1214","289.183948623399","23.8","8.7","8.5","0.3","0.0352941176470588","0","11.4","1.7","MEAT","Sausage (cumberland)"","
"Coleslaw (Creamy)","100g (1/5th)","Aldi","500","691","164.601407330122","14.8","1.2","6.8","6.5","0.955882352941176","0","1","0.9","SALAD","Coleslaw (Creamy)"","
"Cornish Pastie","1 pastie","Gingsters","130","1167","277.988194434519","19","10","23","3","0.130434782608696","0","7","1.4","MEAT","Cornish Pastie"","
"Chicken & Mushroom Pie","1 pie","Pukka","120","1927","459.02592174406","22.1","11.1","44.5","2.9","0.0651685393258427","3.1","19.1","2.1","PIE","Chicken & Mushroom Pie"","
"Apple","1 apple","Granny Smiths","41","","0","","","","","#DIV/0!","","","","","Apple"","
